Crop Type,Season,Temperature (°C),Humidity (%),Precipitation (mm),Soil Moisture (%),Wind Speed (km/h),Sunlight (hours),Disease Name
Wheat,Summer,13.71,41.57,24.94,30.05,15.89,8.92,Fusarium Head Blight
Corn,Spring,33.86,95.11,8.34,25.76,6.55,7.09,Gray Leaf Spot
Corn,Winter,24.57,74.1,6.88,24.14,16.44,10.77,Northern Corn Leaf Blight
Wheat,Autumn,15.09,46.85,43.72,14.44,18.85,7.39,Rust
Wheat,Autumn,16.64,78.99,25.48,58.93,22.62,8.13,Fusarium Head Blight
Wheat,Autumn,19.46,44.66,45.26,10.79,16.25,7.02,Powdery Mildew
Rice,Autumn,18.73,56.1,32.41,32.65,1.78,7.64,Brown Spot
Wheat,Winter,34.29,73.7,8.46,52.75,12.86,8.26,Fusarium Head Blight
Rice,Summer,25.16,51.29,11.49,56.32,14.46,5.82,Sheath Blight
Rice,Autumn,26.0,68.66,43.5,36.78,9.15,7.27,Sheath Blight
Rice,Winter,27.51,95.91,11.13,46.76,22.47,13.9,Brown Spot
Wheat,Autumn,28.55,80.54,16.2,53.2,13.13,11.38,Fusarium Head Blight
Wheat,Spring,16.56,73.89,32.78,41.33,10.26,8.61,Rust
Wheat,Spring,34.06,68.04,37.17,37.7,8.61,13.25,Rust
Wheat,Autumn,28.76,90.52,49.1,36.59,4.64,8.86,Rust
Wheat,Winter,22.55,69.91,23.12,48.79,17.99,11.98,Powdery Mildew
Corn,Autumn,31.37,61.83,46.82,40.62,24.24,6.37,Common Rust
Rice,Autumn,13.54,67.62,9.15,42.71,7.29,11.03,Blast
Corn,Winter,23.63,51.6,9.78,22.99,20.53,10.09,Gray Leaf Spot
Rice,Spring,18.52,67.38,5.43,49.61,7.53,8.35,Sheath Blight
Corn,Summer,23.24,88.07,12.44,43.18,6.08,10.77,Northern Corn Leaf Blight
Wheat,Summer,15.33,65.33,35.41,19.81,16.44,6.9,Fusarium Head Blight
Wheat,Spring,23.83,87.0,10.66,27.53,11.08,9.51,Rust
Corn,Summer,19.56,68.81,7.74,21.06,2.7,6.61,Gray Leaf Spot
Rice,Autumn,25.96,79.09,22.82,43.28,0.39,8.11,Sheath Blight
Rice,Autumn,26.64,77.94,4.33,30.72,15.61,12.01,Sheath Blight
Corn,Summer,16.37,81.3,47.9,34.57,16.59,13.9,Northern Corn Leaf Blight
Corn,Autumn,30.78,45.2,48.45,54.15,18.84,11.72,Gray Leaf Spot
Corn,Spring,32.98,78.68,38.28,15.95,14.1,7.02,Common Rust
Rice,Spring,28.03,52.77,5.89,19.5,8.09,13.13,Sheath Blight
Rice,Spring,27.72,46.05,35.63,11.01,5.28,13.39,Blast
Rice,Winter,20.9,61.24,11.92,39.79,11.49,13.43,Brown Spot
Wheat,Winter,27.82,56.3,8.01,43.14,0.08,8.35,Powdery Mildew
